Factorial- 1,IP- 127.0.0.1 , Port- 48322
Factorial- 2,IP- 127.0.0.1 , Port- 48322
Factorial- 6,IP- 127.0.0.1 , Port- 48322
Factorial- 24,IP- 127.0.0.1 , Port- 48322
Factorial- 120,IP- 127.0.0.1 , Port- 48322
Factorial- 720,IP- 127.0.0.1 , Port- 48322
Factorial- 5040,IP- 127.0.0.1 , Port- 48322
Factorial- 40320,IP- 127.0.0.1 , Port- 48322
Factorial- 362880,IP- 127.0.0.1 , Port- 48322
Factorial- 3628800,IP- 127.0.0.1 , Port- 48322
Factorial- 39916800,IP- 127.0.0.1 , Port- 48322
Factorial- 479001600,IP- 127.0.0.1 , Port- 48322
Factorial- 6227020800,IP- 127.0.0.1 , Port- 48322
Factorial- 87178291200,IP- 127.0.0.1 , Port- 48322
Factorial- 1307674368000,IP- 127.0.0.1 , Port- 48322
Factorial- 20922789888000,IP- 127.0.0.1 , Port- 48322
Factorial- 355687428096000,IP- 127.0.0.1 , Port- 48322
Factorial- 6402373705728000,IP- 127.0.0.1 , Port- 48322
Factorial- 121645100408832000,IP- 127.0.0.1 , Port- 48322
Factorial- 2432902008176640000,IP- 127.0.0.1 , Port- 48322
Factorial- 1,IP- 127.0.0.1 , Port- 48326
Factorial- 2,IP- 127.0.0.1 , Port- 48326
Factorial- 6,IP- 127.0.0.1 , Port- 48326
Factorial- 24,IP- 127.0.0.1 , Port- 48326
Factorial- 120,IP- 127.0.0.1 , Port- 48326
Factorial- 720,IP- 127.0.0.1 , Port- 48326
Factorial- 5040,IP- 127.0.0.1 , Port- 48326
Factorial- 40320,IP- 127.0.0.1 , Port- 48326
Factorial- 362880,IP- 127.0.0.1 , Port- 48326
Factorial- 3628800,IP- 127.0.0.1 , Port- 48326
Factorial- 39916800,IP- 127.0.0.1 , Port- 48326
Factorial- 479001600,IP- 127.0.0.1 , Port- 48326
Factorial- 6227020800,IP- 127.0.0.1 , Port- 48326
Factorial- 87178291200,IP- 127.0.0.1 , Port- 48326
Factorial- 1307674368000,IP- 127.0.0.1 , Port- 48326
Factorial- 20922789888000,IP- 127.0.0.1 , Port- 48326
Factorial- 355687428096000,IP- 127.0.0.1 , Port- 48326
Factorial- 6402373705728000,IP- 127.0.0.1 , Port- 48326
Factorial- 121645100408832000,IP- 127.0.0.1 , Port- 48326
Factorial- 2432902008176640000,IP- 127.0.0.1 , Port- 48326
Factorial- 1,IP- 127.0.0.1 , Port- 48338
Factorial- 2,IP- 127.0.0.1 , Port- 48338
Factorial- 6,IP- 127.0.0.1 , Port- 48338
Factorial- 24,IP- 127.0.0.1 , Port- 48338
Factorial- 120,IP- 127.0.0.1 , Port- 48338
Factorial- 720,IP- 127.0.0.1 , Port- 48338
Factorial- 5040,IP- 127.0.0.1 , Port- 48338
Factorial- 40320,IP- 127.0.0.1 , Port- 48338
Factorial- 362880,IP- 127.0.0.1 , Port- 48338
